# x,y,z
-3.063644,-1.839397,9.826643
-3.023107,-1.849305,9.879575
-2.973436,-1.853900,9.904120
-2.950557,-1.875706,10.020617
-2.839653,-1.841307,9.836845
-2.761840,-1.827399,9.762547
-2.782854,-1.879664,10.041759
-2.661306,-1.835811,9.807485
-2.680337,-1.889133,10.092347
-3.266164,-1.806174,9.924845
-3.137422,-1.765962,9.703881
-3.098259,-1.775626,9.756984
-2.975485,-1.736843,9.543871
-2.983218,-1.774213,9.749218
-2.896136,-1.755545,9.646642
-2.810601,-1.737103,9.545302
-2.783431,-1.754716,9.642086
-2.723360,-1.751885,9.626528
-2.683469,-1.762186,9.683134
-2.638397,-1.769452,9.723058
-2.614002,-1.791202,9.842574
-2.544267,-1.782160,9.792888
-2.465098,-1.765949,9.703807
-2.456450,-1.800678,9.894643
-3.320270,-1.723173,9.747249
-3.258805,-1.720433,9.731753
-3.188259,-1.712719,9.688116
-3.135985,-1.714720,9.699438
-3.071891,-1.710214,9.673947
-3.001405,-1.701917,9.627012
-2.943376,-1.700503,9.619014
-2.863276,-1.686038,9.537191
-2.847484,-1.709616,9.670563
-2.776592,-1.700394,9.618398
-2.684812,-1.677742,9.490267
-2.657086,-1.695008,9.587932
-2.574636,-1.677357,9.488087
-2.505851,-1.668034,9.435352
-2.522059,-1.716130,9.707409
-2.468501,-1.717861,9.717204
-2.427245,-1.728433,9.777005
-2.403609,-1.752354,9.912316
-2.345924,-1.752014,9.910391
-2.371994,-1.815771,10.271037
-3.447614,-1.679698,9.789250
-3.339399,-1.654091,9.640015
-3.240095,-1.632105,9.511880
-3.192162,-1.635684,9.532736
-3.149140,-1.641949,9.569247
-3.047071,-1.617100,9.424433
-3.006243,-1.624441,9.467211
-2.946809,-1.621812,9.451893
-2.859976,-1.603722,9.346461
-2.878153,-1.644951,9.586745
-2.790192,-1.625947,9.475989
-2.739560,-1.628370,9.490113
-2.688128,-1.630408,9.501990
-2.638342,-1.633549,9.520296
-2.620969,-1.657320,9.658832
-2.565923,-1.657785,9.661542
-2.492062,-1.645844,9.591952
-2.424564,-1.637658,9.544244
-2.411075,-1.666421,9.711870
-2.344312,-1.658855,9.667779
-2.347885,-1.701905,9.918674
-2.279145,-1.693379,9.868986
-2.259943,-1.722167,10.036760
-3.617526,-1.654816,9.945618
-3.453849,-1.605425,9.648778
-3.377546,-1.595695,9.590296
-3.341526,-1.604989,9.646154
-3.181056,-1.553809,9.338561
-3.083524,-1.532137,9.208310
-3.071031,-1.552701,9.331896
-2.961980,-1.524308,9.161251
-2.914160,-1.526965,9.177225
-2.924509,-1.560766,9.380369
-2.875263,-1.563436,9.396419
-2.810596,-1.557663,9.361722
-2.760689,-1.560004,9.375793
-2.778086,-1.601231,9.623571
-2.665198,-1.567516,9.420937
-2.625784,-1.576508,9.474982
-2.565591,-1.573142,9.454753
-2.521034,-1.579426,9.492521
-2.467849,-1.580464,9.498755
-2.421558,-1.586064,9.532414
-2.387327,-1.600007,9.616214
-2.388399,-1.638838,9.849592
-2.340742,-1.645311,9.888497
-2.243798,-1.616599,9.715931
-2.215474,-1.637120,9.839265
-2.202396,-1.670283,10.038582
-2.168431,-1.688971,10.150899
-3.617327,-1.577967,9.789678
-3.547600,-1.572115,9.753371
